,Equivocada,Frecuencia,Sugerencia,Candidatas
0,ustedes,32,usted,usted
1,comercial,2,comerciar,"comerciar, comerical"
2,offer,1,oler,"oler, orfre, afer, fer, fuer"
3,ultumo,1,último,"ulmo, ulluco, tumo, último, totumo"
4,cremas,1,crema,crema
5,lugares,2,lugar,"lugre, lugareña, lugar, longares, lugarejo, lugareño, lugarete"
6,corre,1,corte,"torre, corbe, correr, correo, corro, correa, horre, cobre, corra, cofre, corte"
7,tranqui,1,tranquil,tranquil
8,agujas,1,aguja,"aguja, agujar, agujal"
9,retomar,1,retocar,"retocar, retamar, retobar, retozar, retoñar"
10,porfavor,1,portador,"portavoz, porfiador, portador"
11,seguidas,1,seguida,seguida
12,infecion,1,infección,"inferior, infecir, infición, infecto, infección"
13,tienen,13,tener,"tizne, tioneo, tienta, tener, tiznón, tiento"
14,mantengo,1,mantener,"matungo, manteo, maniego, mantener, marengo, mantelo, mantero"
15,distintos,1,distinto,distinto
16,diabéticos,5,diabético,diabético
17,deceaba,1,decena,decena
18,superado,1,superano,superano
19,laucoma,1,sarcoma,"sarcoma, laucha, carcoma"
20,equivocaron,2,equivocar,equivocar
21,flia,1,fila,"fila, filia"
22,contactarme,1,,
23,hechos,1,hecho,"hecho, hechor"
24,iva,2,viva,"viva, ira, ava, uva, ida, diva, ova, iza, ita"
25,fuy,1,muy,"muy, ful, yuy, fu, huy, cuy"
26,midan,1,mida,mida
27,pedirme,2,pedir,pedir
28,bajarla,1,batalla,"bataola, batalla, bajar, bajura, bajuela, bajera, bajada"
29,controles,19,,
30,ice,1,vice,"vice, ce, fice"
31,xel,1,el,"sel, el, bel, del, pel"
32,gym,1,y,"aya, dom, gao, gis, my, pum, gro, ohm, goma, gema, ayo, gil, yo, gol, hum, gas, ya, ge, gea, gen, gaya, gama, aymé, gua, ny, ay, ye, com, gamo, y, gayo"
33,pueden,20,,
34,muerso,1,muerto,"muergo, muerto, muerdo, muermo, mueso"
35,elejirme,1,,
36,pautas,1,patas,"pautar, pauta, patas"
37,solía,1,sola,"folía, solla, solfa, sola"
38,ayudan,1,ayuda,"ayudar, ayuda"
39,envíala,2,enviada,enviada
40,ago,19,algo,"agro, gao, agá, vago, gago, avo, año, argo, ajo, aro, ayo, asgo, sago, lago, aho, bago, algo, pago, ano, agio, mago, amo"
41,manejamos,1,manejado,manejado
42,bebidas,1,bebida,bebida
43,ppara,1,para,"piara, pápara, para"
44,precion,2,precio,precio
45,fide,1,fideo,"vide, fice, fido, fida, fideo"
46,entregando,3,entregado,entregado
47,trbjo,1,trabajo,"tibio, terbio, turbio, traro, traje, arijo, tajo, treja, tebeo, rojo, troj, trozo, tojo, troje, tirajo, trapo, trío, tejo, erbio, brujo, truja, trabajo, trigo, treno, trono, tramo, treo, trago, truco, rejo, tubo, troja, trebejo, troco, rijo, trebo, orujo, travo, grojo, trazo, tabo, tropo, grajo, trato, trino"
48,responderemos,18,,
49,preocupa,2,preocupar,preocupar
50,espero,6,espera,"estero, espejo, áspero, espeso, empero, espeto, espera, esmero, esporo, espedo"
51,depende,1,depender,"desende, depender"
52,cancelelo,1,carcelero,"cancellero, canceller, candelero, canelero, concello, carcelero"
53,podologia,1,pomología,"posología, pomología"
54,precios,1,precio,"precioso, precio, preciosa, preciso"
55,mareos,1,mareo,"mareo, mareoso, mareosa"
56,internet,1,interna,"interna, interno, internar"
57,https,39,,
58,echos,1,hecho,"hechor, estos, techo, caos, eros, esos, chus, chis, echona, pchs, lecho, pecho, hecho, echar, ellos, choz, cho, lechosa, icho, mechosa, lechoso, ocho, fecho, ecuo, fechor, mechoso, eco"
59,nuevos,2,nuevo,nuevo
60,gracoas,1,gracia,"granosa, tracias, grasosa, gradosa, gracia, graciosa, gravosa, gramosa"
61,mandataria,2,mandatario,mandatario
62,transmitian,1,transmisión,"transmisión, transmitir"
63,visite,2,visita,"visita, visiteo"
64,ejena,1,ajena,"ajena, egena"
65,hermanos,1,hermano,hermano
66,diagnosticaron,2,diagnosticar,diagnosticar
67,preocupaciones,1,,
68,recordarme,1,recordar,"recordar, recordable, recordante"
69,n,17,no,"an, no, ne, na, ny, a, e, en, in, un, u, ni, y, o"
70,graccias,1,gracia,"tracias, gracia"
71,onformacion,1,información,"conformación, información"
72,perdiendo,2,perdido,"perdido, pereciendo"
73,hize,1,he,"cipe, vide, pije, hijo, diez, hija, hin, vice, hoce, iza, hilo, hiper, hiel, diz, ñire, liza, higa, hove, tibe, hila, biza, lite, himen, hupe, he, chile, mizo, hito, sine, tizne, hipo, fice, rizo, chiza, hi, haz, chite, haza, hae, dije, hita, tizo, hez, home, riza, tiza, lizo, miz, pie, ñipe, hoz, aire, higo, hule, cine, miza"
74,operado,1,operador,"aperado, operador"
75,pami,9,ami,"ami, pali"
76,sacaron,1,sacar,"sacarino, nacarón, sacar, sacador, sacarosa, sacayán, sacro, sacarina"
77,nolose,1,coloso,"moloso, doloso, dolosa, golosa, molosa, colote, goloso, noblote, coloso, novoso, glose"
78,enteré,1,entero,"entera, entero"
79,familiares,2,familiar,familiar
80,mombre,1,hombre,"mimbre, hombre, nombre"
81,sintiendo,1,,
82,puse,2,pues,"pase, pus, pues"
83,entiendo,1,entierro,"entrenudo, entenado, encienso, enmienda, entierro"
84,dejenme,1,detente,"demente, decente, detente, desende"
85,ospital,2,hospital,hospital
86,comunicarte,58,comunicante,comunicante
87,nesito,1,esto,"pasito, neto, perito, nito, cerito, cesio, resto, jeito, mesto, nerita, esto, negrito, necio, sito, besico, espito, nolito, gesto, desiño, melito, pósito, nescio, cesto, lesivo, delito, nieto, neófito, desto, ínsito, benito, lesoto"
88,wa,3,a,"ya, la, ña, na, a, ha, ea, ca, za, ta, wat, ka, fa"
89,quería,9,quera,"quera, querva"
90,att,1,ata,ata
91,tengas,1,tenia,"tentar, tenis, termas, tonga, tena, tenia, vengar, tengue, renga, tanga, tensa, tenua, sendas, tenaz, sergas, leneas, tensar, rengar, tenca, menga, tendal"
92,medicamanto,1,medicamento,medicamento
93,saliendo,2,salido,"aliento, saliente, sabiondo, alienado, salinero, salido, galindo, salcedo, aliende, salino"
94,tomarlo,1,tomar,"tímalo, tomado, tomillo, tamarao, tomar, tonario, somarro"
95,compartido,1,compartidor,compartidor
96,atras,2,atrás,"atrás, arras, tras, atlas, atraso"
97,siendo,2,miedo,"liento, siervo, indo, pinedo, sendos, vendo, siena, hienda, lindo, sien, zendo, sierro, bienio, simado, tiento, asiento, ciento, bieldo, sino, senda, duendo, senado, lienzo, seudo, sueno, signo, rienda, miedo, cieno, sirenio, pienso, sueldo, seno, viento, sieso"
98,vienen,1,viento,"viernes, vienense, virgen, veneno, vienés, viejez, vienesa, viento"
99,éste,1,este,"este, éster, oste, uste"
100,hacérmelo,2,,
101,diabetólogo,1,dialectólogo,dialectólogo
102,grasiss,2,gratis,"grasosa, gratis, frasis, grasoso"
103,pedidos,2,pedido,"pedido, pedidor"
104,commerce,2,,
105,buenisimo,7,,
106,comparten,1,comparte,comparte
107,farmacias,1,farmacia,farmacia
108,juves,1,jueves,jueves
109,cm,3,com,"cu, ce, co, com, ca"
110,tomaba,1,tomada,"tomaza, tomada"
111,migo,2,amigo,"mio, mico, mino, mego, mingo, figo, mito, mago, mogo, higo, amigo, meigo, mimo, mijo, milo, mizo, miga"
112,costos,1,costo,"cosmos, costosa, costo, costoso"
113,dayer,3,ayer,ayer
114,cuidó,2,cuida,"cuido, cuida"
115,ayudó,1,ayuda,ayuda
116,ficica,1,oficina,"ficta, dioica, cica, fiucia, bicoca, fucia, risica, ficticia, oficina, fúlica, cicca, cacica, ficha, fálica, fónica, facina, finita, cibica, vicia, facia, finca, licia, filia, física"
117,tomó,4,toma,"toma, tomé, tomo, tome, tomón"
118,kieren,1,cierne,cierne
119,seres,1,ceres,ceres
120,aparatito,1,aparato,"aparatero, apurativo, aparatoso, apartijo, aparato"
121,salidas,1,salida,salida
122,informando,2,informante,"informante, informador, normando"
123,hace,83,hacer,"hache, hacer, hoce, haca, hae"
