,id_participante,id_mensaje,enviado,tipo,subtipo,recibido,clase,recibido_limpio,recibido_corregido,recibido_corregido_sin_emoticones,recibido_corregido_significado_emoticones,recibido_corregido_significado_emoticones_sin_tildes,recibido_corregido_significado_emoticones_sin_stop_words,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words,recibido_corregido_significado_emoticones_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_stop_words_stemetizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_stemetizada
0,1,1,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
1,1,2,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
2,2,3,Hemos llegado al final de nuestro programa de mensajes. Recordá que siempre contás con el apoyo del equipo de salud de tu centro.,final,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
3,3,4,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
4,3,5,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Bueno muchas gracias,agradecimiento,bueno muchas gracias,bueno muchas gracias,bueno muchas gracias,bueno muchas gracias,bueno muchas gracias,bueno muchas gracias,bueno muchas gracias,bueno mucho gracia,bueno mucho gracia,buen much graci,buen much graci
5,3,6, La DIABETES es una enfermedad que dura toda la vida (crónica). La falta de insulina o la dificultad para utilizarla hace que el azúcar de los alimentos aumente y se acumule en la sangre (azúcar alta en sangre).,educativo,,Bien gracias,agradecimiento,bien gracias,bien gracias,bien gracias,bien gracias,bien gracias,bien gracias,bien gracias,bien gracias,bien gracias,bien graci,bien graci
6,3,7," La DIABETES es una enfermedad crónica pero si se puede controlar! Si estás controlado, vas a estar bien y llevar una vida normal.",educativo,,Buen dia ... muchas gracias,agradecimiento,buen dia muchas gracias,buen día muchas gracias,buen día muchas gracias,buen día muchas gracias,buen dia muchas gracias,buen día muchas gracias,buen dia muchas gracias,buen día mucho gracia,buen diar mucho gracia,buen dia much graci,buen dia much graci
7,3,8, Para que tu DIABETES esté bien controlada debe tener un valor de hemoglobina glicosilada cercano al 7 en sus analisis de sangre. ¿Conoces cuál es tu valor de hemoglobina glicosilada ?,educativo,glicemia,Buen dia .... tengo que hacerme nuevamente  los analisis,respuesta a consejo o pregunta,buen dia tengo que hacerme nuevamente los analisis,buen día tengo que hacerme nuevamente los análisis,buen día tengo que hacerme nuevamente los análisis,buen día tengo que hacerme nuevamente los análisis,buen dia tengo que hacerme nuevamente los analisis,buen día tengo hacerme nuevamente análisis,buen dia tengo hacerme nuevamente analisis,buen día tener hacer yo nuevamente análisis,buen dia tener hacer yo nuevamente analisis,buen dia teng hac nuev analisis,buen dia teng hac nuev analisis
8,3,9," Se puede llevar una vida normal teniendo DIABETES. Sólo es necesario comer sano, hacer ejercicios habitualmente y tomar los medicamentos que te da el médico.",educativo,,Muchas Gracias  😊,agradecimiento,muchas gracias 😊,muchas gracias 😊,muchas gracias  em_cara_feliz_con_ojos_sonrientes ,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
9,3,10, Si sos diabético tenés que hacerte un fondo de ojo todos los años. ¿Cuándo fue la última vez que visitaste al oculista?,educativo,,Buenos días  .....hace mucho que no me hago un fondo de ojo,turno,buenos días hace mucho que no me hago un fondo de ojo,buenos días hace mucho que no me hago un fondo de ojo,buenos días hace mucho que no me hago un fondo de ojo,buenos días hace mucho que no me hago un fondo de ojo,buenos dias hace mucho que no me hago un fondo de ojo,buenos días hace no hago fondo ojo,buenos dias hace no hago fondo ojo,buen día hacer no hacer fondo ojo,buen dia hacer no hacer fondo ojo,buen dias hac no hag fond ojo,buen dias hac no hag fond ojo
